,No.,Course Code,Title,Credit,Pre-requisite,Available in 2022-2023,Available in 2023-2024,Semester offered in 2022-2023,Exam held in 2022-2023,Quota,Course Coordinator,Disciplinary Core Course,Disciplinary Elective,Capstone - Disciplinary Core Course,Capstone - Disciplinary Elective,Teachers
34,35,BIOL3301,Marine biology,6,Pass in BIOL2306 or ENVS2002,Y,Y,1,Dec,60,"Dr D M Baker, Biological Sciences","Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Russell,School of Biological Sciences)
(Dr D M Baker,School of Biological Sciences)
(TBC,School of Biological Sciences)"
35,36,BIOL3302,Systematics and phylogenetics,6,"Pass in BIOL1309; and
Any level 2 BIOL course",Y,Y,1,Dec,60,"Dr Alice Hughes, Biological Sciences","Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Alice Hughes,School of Biological Sciences)
(Dr Juha K K Merila,School of Biological Sciences)"
36,37,BIOL3303,Conservation biology,6,Pass in BIOL2306,Y,Y,2,May,100,"Dr T C Bonebrake, Biological Sciences","Major in Ecology & Biodiversity (2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr H Mummby,School of Biological Sciences)
(Dr L A Ashton,School of Biological Sciences)
(Dr T C Bonebrake,School of Biological Sciences)
(Guest Lecturer,School of Biological Sciences)"
37,38,BIOL3318,Experimental intertidal ecology,6,Pass in BIOL2102 or BIOL3301,Y,Y,2,May,20,"Prof G A Williams, Biological Sciences",,"Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof G A Williams,School of Biological Sciences)"
38,39,BIOL3319,Tropical terrestrial ecology,6,Pass in BIOL1309 and BIOL2306,Y,Y,2,May,30,"Dr B Guenard, Biological Sciences","Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Guenard,School of Biological Sciences)"
39,40,BIOL3328,Nearshore marine and estuarine ecology,6,Pass in BIOL2306 or BIOL3301,Y,N,2,No exam,10,"Prof. G.A. Williams, Biological Sciences",,"Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof. G.A. Williams,School of Biological sciences)"
40,41,BIOL3401,Molecular biology,6,Pass in BIOC2600 or BIOL2103 or BIOL2220 or MEDE2301 or BMED2301,Y,Y,1,Dec,130,"Dr K W Y Yuen, Biological Sciences","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K W Y Yuen,School of Biological Sciences)
(Dr Y L Zhai,School of Biological Sciences)"
41,42,BIOL3402,Cell biology and cell technology,6,Pass in BIOC2600 or BIOL2103 or BIOL2220 or MEDE2301,Y,Y,1,Dec,120,"Dr Johnson Heath, Biological Sciences","Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Johnson Heath,School of Biological Sciences)
(Dr Peng Wang,School of Biological Sciences)
(Dr W Y Lui,School of Biological Sciences)"
42,43,BIOL3403,Immunology,6,Pass in BIOC2600 or BIOL2103 or BIOL2220 or MEDE2301 or BMED2301,Y,Y,2,May,110,"Dr Chaogu Zheng, Biological Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Chaogu Zheng,School of Biological Sciences)
(Dr W B L Lim,School of Biological Sciences)"
43,44,BIOL3406,Reproduction and reproductive biotechnology,6,Pass in BIOL2103 or BIOL2220 or BIOC2600 or MEDE2301,Y,Y,1,Dec,35,"Prof A O L Wong, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Prof A O L Wong,School of Biological Sciences)"
44,45,BIOL3408,Genetics,6,Pass in BIOL1110 or BIOC1600;  and BIOL2102 or BIOL2103.,Y,Y,1,Dec,50,"Dr G Y W Chan, Biological Sciences",,"Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Schunter,School of Biological Sciences)
(Dr G Y W Chan,School of Biological Sciences)"
45,46,BIOL3503,Endocrinology: human physiology II,6,Pass in BIOL2103,Y,Y,2,May,60,"Dr C B Chan, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)",,,"(Dr C B Chan,School of Biological Sciences)
(Dr Y L Zhai,School of Biological Sciences)
(Prof. B K C Chow,School of Biological Sciences)"
46,47,BIOL3506,Evolutionary biology,6,"Pass in BIOL2306
Not for students who have passed in BIOL3501",Y,Y,1,Dec,50,"Dr J D Gaitan-Espitia, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr C Schunter,School of Biological Sciences)
(Dr J D Gaitan-Espitia,School of Biological Sciences)"
47,48,BIOL3508,Microbial physiology and biotechnology,6,"Pass in BIOL2103 or BIOL2220 or BIOC2600 or BIOC3604;
Not for students who have passed in BIOL3108; and
Not for students who have passed in BIOL4402.",Y,Y,2,May,60,"Dr A Yan, Biological Sciences","Major in Molecular Biology & Biotechnology (2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A Yan,School of Biological Sciences)"
48,49,BIOL3606,Diet and disease,6,"Pass in BIOL2220 or BIOC2600 or BIOL3202 or BIOL3203 or BIOL3204 or BIOL3205
Not for students who have passed in BIOL3206",Y,Y,2,No exam,70,"Dr J C Y Lee, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)"
49,50,BIOL3608,Food commodities,6,"Pass in BIOL2101
Not for students who have passed in BIOL3210;
Not for students who have passed in BIOL4207; and
Not for students who have passed in BIOL4208.",Y,Y,2,May,30,"Dr L Zhang, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)
(Dr L Zhang,School of Biological Sciences)"
50,51,BIOL3991,Directed studies in ecology & biodiversity,6,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Ecology & Biodiversity Major / Ecology & Biodiversity (Intensive) Major.
This capstone course is for Ecology & Biodiversity Major / Ecology & Biodiversity (Intensive) Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Dr S W Y Sin, Biological Sciences",,,,"Major in Ecology & Biodiversity (2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in E&B Major / E&B Major (Intensive) Major,School of Biological Sciences)"
51,52,BIOL3992,Directed studies in food & nutritional science,6,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Food & Nutritional Science Major.
This capstone course is for Food & Nutritional Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Dr J C Y Louie, Biological Sciences",,,,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Food & Nutritional Science Major,School of Biological Sciences)"
52,53,BIOL3993,Directed studies in Molecular biology & biotechnology,6,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Molecular Biology & Biotechnology Major.
This capstone course is for Molecular Biology & Biotechnology Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Dr Y L Zhai, Biological Sciences",,,,"Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Molecular Biology & Biotechnology Major,School of Biological Sciences)"
53,54,BIOL3994,Directed studies in biological sciences,6,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Biological Sciences Major.
This capstone course is for Biological Sciences Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2",No exam,---,"Dr J Wu, Biological Sciences",,,,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biological Sciences Major,School of Biological Sciences)"
54,55,BIOL4201,Public health nutrition,6,PASS in BIOL3202,Y,Y,2,No exam,90,"Dr J C Y Louie, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Louie,School of Biological Sciences)"
55,56,BIOL4205,Food technology,6,Pass in BIOL3209,Y,Y,S,No exam,30,"Dr J C Y Lee, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J C Y Lee,School of Biological Sciences)
(Dr L Zhang,School of Biological Sciences)"
56,57,BIOL4209,Functional foods,6,Pass in BIOL3202,Y,Y,1,Dec,40,"Dr L Zhang, Biological Sciences",,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(Dr K S Leung,School of Biological Sciences)
(Dr L Zhang,School of Biological Sciences)"
57,58,BIOL4302,Environmental impact assessment,6,"Pass in (BIOL2103 or BIOL2306); and
(ENVS3004 or any BIOL3XXX course)",Y,Y,2,May,30,"Dr J Wu, Biological Sciences",,"Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr B Russell,School of Biological Sciences)
(Dr C H Hau,School of Biological Sciences)
(Dr J Wu,School of Biological Sciences)"
58,59,BIOL4409,General virology,6,Pass in BIOL3401 or BIOL3403,Y,N,1,Dec,30,"Dr W B L Lim, Biological Sciences",,"Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr W B Lim,School of Biological Sceinces)"
59,60,BIOL4411,Plant and food biotechnology,6,Pass in BIOL3211 or BIOL3401,Y,Y,1,Dec,50,"Prof M L Chye, Biological Sciences","Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Plant Science (2021,2020,2019,2018,2017,2016,2015)",,,"(mlchye@hku.hk,School of Biological Sciences)"
60,61,BIOL4415,Healthcare biotechnology,6,Pass in BIOL3401 or BIOL3408,Y,Y,2,May,70,"Dr G Y W Chan, Biological Sciences","Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr G Y W Chan,School of Biological Sciences)
(Dr K W Y Yuen,School of Biological Sciences)"
61,62,BIOL4416,Stem cells and regenerative biology,6,Pass in BIOC3601 or BIOC3604 or BIOL3211 or BIOL3401 or BIOL3402 or BIOL3403 or BIOL3404 or BIOL3408,Y,N,2,May,40,"Dr K W Y Yuen, Biological Sciences",,"Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr Chaogu Zheng,Biological Sciences)
(Dr J Zhang,Biological Sciences)
(Dr K W Y Yuen,Biological Sciences)"
62,63,BIOL4417,'Omics' and systems biology,6,Pass in BIOC3601 or BIOC3604 or BIOL3211 or BIOL3401 or BIOL3402 or BIOL3403 or BIOL3404 or BIOL3408,Y,Y,2,May,40,"Dr J W Zhang, Biological Sciences","Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Biochemistry (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J W Zhang,School of Biological Sciences)"
63,64,BIOL4505,Oyster aquaculture: business and technology,6,"Pass in BIOL3109 or BIOL3203 or BIOL3301 or BIOL3303 or ENVS3004 or ENVS3313;
and Pass in at least 24 credits of advanced level disciplinary core/elective courses in the Ecology and Biodiversity Major or Environmental Science Major or Biological Science Major.
Not for students who have passed in BIOL3505",Y,N,2,No exam,20,"Dr T Vengatesen, Biological Sciences",,"Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T Vengatesen,School of Biological Sciences)"
64,65,BIOL4861,Ecology & biodiversity internship,6,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Ecology and Biodiversity Major.
This course is for Ecology & Biodiversity Major / Ecology & Biodiversity (Intensive) Major students only.
The earliest that a student is allowed to take this course is their Year 3.",Y,Y,"1, 2, S",No exam,---,"Dr T Vengatesen, Biological Sciences",,"Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017)",,,"(All academic staff in Ecology & Biodiversity Major,School of Biological Sciences)"
65,66,BIOL4962,Food & nutritional science internship,6,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Food & Nutritional Science Major.
This capstone course is for Food & Nutritional Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr J C Y Lee, Biological Sciences",,,,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Food & Nutritional Science Major,School of Biological Sciences)"
66,67,BIOL4963,Molecular biology & biotechnology internship,6,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Molecular Biology & Biotechnology Major.
This capstone course is for Molecular Biology & Biotechnology Major / Molecular Biological & Biotechnology (intensive) Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr J C Y Lee, Biological Sciences",,,,"Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Molecular Biology & Biotechnology Major,School of Biological Sciences)"
67,68,BIOL4964,Biological sciences internship,6,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Biological Sciences Major.
This captsone course is for Biological Sciences Major / Biological Sciences (Intensive) Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,"1, 2, S",No exam,---,"Dr Y W Chan, Biological Sciences",,,,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biological Sciences Major,School of Biological Sciences)"
68,69,BIOL4991,Ecology & biodiversity project,12,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Ecology & Biodiversity Major / Ecology & Biodiversity Major (Intensive); and
This capstone course is for Ecology & Biodiversity Major / Ecology & Biodiversity Major (Intensive) students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr S W Y Sin, Biological Sciences",,,"Major in Ecology & Biodiversity (2022,2021,2020,2019)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Ecology & Biodiversity (2018,2017,2016,2015)","(All academic staff in E&B Major / E&B Intensive Major,Biological Sciences)"
69,70,BIOL4992,Food & nutritional science project,12,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Food & Nutritional Science Major; and
Cumulative GPA of 3.0 or above.
This capstone course is for Food & Nutritional Science Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr C B Chan, Biological Sciences",,,,"Major in Food & Nutritional Science (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Food & Nutritional Science Major,Biological Sciences)"
70,71,BIOL4993,Molecular biology & biotechnology project,12,"Pass in at least 24 credits of advanced level disciplinary core / elective courses in the Molecular Biology & Biotechnology Major / Molecular Biology & Biotechnology Major (Intensive); and
Cumulative GPA of 3.0 or above.
This capstone course is for Molecular Biology & Biotechnology Major / Molecular Biology & Biotechnology Major (Intensive) students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr Chaogu Zheng, Biological Sciences",,,"Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)","Major in Molecular Biology & Biotechnology (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in MBB Major / MBB Intensive Major,Biological Sciences)"
71,72,BIOL4994,Biological sciences project,12,"Pass in at least 24 credits of advanced level disciplinary core/elective biological sciences courses (BIOL3XXX or BIOL4XXX) in the Biological Sciences Major; and
Cumulative GPA of 3.0 or above.
This capstone course is for Biological Sciences Major students only.
The earliest that a student is allowed to take this capstone course is their year 3 study.",Y,Y,0,No exam,---,"Dr C Schunter, Biological Sciences",,,"Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)","Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016,2015)","(All academic staff in Biological Sciences Major,Biological Sciences)"
72,73,ENVS1301,Environmental life science,6,NIL,Y,Y,2,May,60,"Dr T Vengatesen, Biological Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Marine Biology (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T Vengatesen,School of Biological Sciences)"
73,74,ENVS2001,Methods in environmental science,6,Pass in BIOL1309 or EASC1401 or ENVS1301 or ENVS1401,Y,Y,1,No exam,42,"Dr D M Baker, Biological Sciences","Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr D M Baker,School of Biological Sciences)"
74,75,ENVS2002,Environmental data analysis,6,Pass in BIOL1309 or EASC1401 or ENVS1301 or ENVS1401,Y,Y,2,May,65,"Dr T C Bonebrake, Biological Sciences","Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)","Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T C Bonebrake,School of Biological Sciences)"
75,76,ENVS3020,Global change ecology,6,Pass in BIOL2306 or ENVS2001 or ENVS2002,Y,N,2,May,65,"Dr L A Ashton, Biological Sciences",,"Major in Ecology & Biodiversity (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Ecology & Biodiversity (Intensive) (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr L A Ashton,School of Biological Sciences)"
76,77,ENVS3028,Coastal Sustainability,6,Pass in BIOL2306 or BIOL3301 or BIOL3305 or BIOL3318 or ENVS2001 or ENVS2002 or EASC3020,Y,Y,S,No exam,8,"Dr T Vengatesen, Biological Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr T Vengatesen,School of Biological Sciences)
(Prof G A Williams,School of Biological Sciences)"
77,78,ENVS3202,Plant ecophysiology and climate change,6,"Pass in BIOL2306 or ENVS2001 or ENVS2002 or EASC2404.
Priority will be given to students majoring in Environmental Science, Biological Science, and Earth System Science.",Y,Y,1,Dec,50,"Dr J Wu, Biological Sciences",,"Major in Biological Sciences (2022,2021,2020,2019,2018,2017,2016)
Major in Biological Sciences (Intensive) (2022,2021,2020,2019,2018,2017)
Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Major in Molecular Biology & Biotechnology (Intensive) (2022,2021,2020,2019,2018,2017,2016)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr J Wu,School of Biological Sciences)"
78,79,ENVS3401,Understanding tropical ecosystems in a changing world,6,Pass in ENVS2001 or ENVS2002 or BIOL2306,Y,Y,S,No exam,20,"Dr A L Ashton, Biological Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)",,,"(Dr A L Ashton,School of Biological Sciences)
(Dr C Dingle,School of Biological Sciences)
(Dr T Bonebrake,School of Biological Sciences)"
79,80,ENVS3402,"Qualitative data, social science methods and decision-making in environmental science",6,Pass in ENVS2002,Y,Y,2,May,30,"Dr Hannah Mumby, Biological Sciences",,"Major in Environmental Science (2022,2021,2020,2019,2018,2017,2016,2015)
Minor in Environmental Science (2022,2021,2020,2019,2018)",,,"(Dr Hannah Mumby,Biological Sciences)"
80,81,CAES1000,Core University English,6,NIL,Y,Y,"1, 2",No exam,---,"Dr A Yau, English",,,,,"(Dr A Yau,Centre for Applied English Studies)"
81,82,CAES9820,Academic English for science students,6,NIL,Y,Y,"1, 2",No exam,---,"Mr S D Boynton, English",,,,,"(Mr S D Boynton,Centre for Applied English Studies)"
82,83,CAES9821,Professional and technical communication for mathematical sciences,6,NIL,Y,Y,"1, 2",No exam,---,"Mr S D Boynton, English",,,,,"(Mr S D Boynton,Centre for Applied English Studies)"
